case_name,court_level,year_decided,location,latitude,longitude,key_issues,summary,significance,judgment_url,outcome
OV & OW v Members of the Board of Wesley Mission Council,NSW Administrative Decisions Tribunal,2010,Sydney,-33.8738,151.2043,"discrimination,adoption,religious exemptions","A same-sex couple was refused foster care assessment by Wesley Mission on religious grounds. The Tribunal found the refusal was unlawful discrimination.","Significant case establishing that religious organizations providing government-funded services must comply with anti-discrimination laws.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/nsw/NSWADT/2010/293.html,won
Attorney-General (Cth) v Kevin,Full Family Court,2003,Sydney,-33.8588,151.2193,"transgender,marriage recognition","The Commonwealth appealed the Re Kevin decision. The Full Court upheld the original ruling, confirming that a post-operative transgender man could legally marry a woman.","Affirmed and strengthened the Re Kevin precedent. Confirmed Australia's legal recognition of transgender identity for marriage purposes.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2003/94.html,won
Re: Jamie,Family Court,2013,Sydney,-33.8788,151.1993,"transgender,minors,medical treatment","Established distinction between stage 1 (puberty blockers) and stage 2 (hormone therapy) treatment for transgender minors, with different court authorization requirements.","Created clearer legal framework for treatment of transgender youth. Stage 1 treatment could proceed with parental consent alone.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCAFC/2013/110.html,won
Walsh v St Vincent de Paul Society Queensland,Queensland Civil and Administrative Tribunal,2008,Brisbane,-27.4648,153.0301,"discrimination,employment,sexual orientation","A gay man was dismissed from employment with St Vincent de Paul after revealing his sexual orientation. The Tribunal found unlawful discrimination.","Important case on employment discrimination against LGBTIQ individuals in religious organizations.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/qld/QADT/2008/84.html,won
Toonen v Australia,UN Human Rights Committee,1994,Hobart,-42.8821,147.3272,"decriminalization,privacy,sexual orientation","Nicholas Toonen challenged Tasmania's laws criminalizing consensual sex between adult men. The UN Human Rights Committee found these laws violated the International Covenant on Civil and Political Rights.","Led to the repeal of Australia's last sodomy laws and recognized sexual orientation as protected under international human rights law. Landmark case for global LGBTIQ rights.",https://www.ohchr.org/en/documents/views/communication-no-4881992-australia-nicholas-toonen-v-australia,won
Croome v Tasmania,High Court,1997,Hobart,-42.8871,147.3222,"decriminalization,constitutional law","Rodney Croome and Nicholas Toonen challenged Tasmania's anti-sodomy laws. While the High Court case was proceeding, Tasmania repealed the laws following the UN decision in Toonen.","Part of the successful campaign to decriminalize homosexuality in Tasmania. The last Australian jurisdiction to do so.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/HCA/1997/5.html,won
Hope & Brown v NIB Health Funds,NSW Equal Opportunity Tribunal,1995,Sydney,-33.8538,151.2243,"discrimination,family definition,health insurance","Andrew Hope and William Brown were denied family health coverage by NIB because they were a same-sex couple with children. The Tribunal found this discriminatory under the Anti-Discrimination Act 1977 (NSW).","Redefined 'family' to include same-sex couples and their children for service provision purposes. Upheld by NSW Supreme Court in 1996.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/nsw/NSWADT/1995/1.html,won
Young v Australia,UN Human Rights Committee,2003,Canberra,-35.2709,149.1400,"discrimination,pension,same-sex couples","Edward Young was denied a veteran's dependent pension after his same-sex partner died. The UN Human Rights Committee found this discriminated against him based on sexual orientation.","Important international decision finding Australia violated ICCPR by denying pension benefits to same-sex partners. Contributed to legislative reforms on same-sex partner recognition.",https://www.ohchr.org/en/documents/views/communication-no-9412000-australia-young-v-australia,won
Tasty Nightclub Raid Class Action,Victorian Supreme Court,2000,Melbourne,-37.8236,144.9531,"police misconduct,civil liberties,discrimination","463 patrons of Melbourne's Tasty nightclub were detained and strip-searched by police in 1994. A class action resulted in approximately A$6 million in damages. Victoria Police apologized in 2014.","Landmark case for LGBTIQ civil rights and police accountability. Led to reforms in police conduct and formal acknowledgment of wrongdoing.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/vic/VSC/2000/125.html,won
Ewin v Vergara,Federal Court,2013,Sydney,-33.8838,151.1943,"sexual harassment,discrimination,bisexual","A bisexual woman was sexually harassed at work. The Federal Court awarded significant damages, affirming protections against workplace harassment for LGBTIQ individuals.","Important case establishing workplace harassment protections apply equally to bisexual and other LGBTIQ workers.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCA/2013/1311.html,won
Sundstrom v State of Queensland,Queensland Supreme Court,2018,Brisbane,-27.4748,153.0201,"gender recognition,transgender,birth certificate","A transgender woman challenged the requirement to undergo surgery to change the sex on her birth certificate. The court found the surgery requirement violated anti-discrimination law.","Led to amendments to Queensland's Births Deaths and Marriages Registration Act removing surgery requirements for birth certificate changes.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/qld/QSC/2018/209.html,won
AB v Registrar of Births Deaths and Marriages,Victorian Supreme Court,2019,Melbourne,-37.8036,144.9731,"gender recognition,transgender,birth certificate","The court ruled that a person does not need to undergo surgery to change the sex marker on their Victorian birth certificate.","Affirmed rights for transgender individuals to legal recognition without medical intervention. Part of broader reform movement across Australian states.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/vic/VSC/2019/592.html,won
Re Imogen,Family Court,2020,Brisbane,-27.4598,153.0351,"transgender,minors,medical treatment","The court considered treatment for a transgender teenager and affirmed that stage 2 hormone treatment can proceed without court authorization when there is parental consent and medical support.","Confirmed the Re Kelvin principles and streamlined access to gender-affirming care for transgender youth.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2020/761.html,won
Christian Youth Camps v Cobaw Community Health,High Court,2014,Canberra,-35.2909,149.1200,"discrimination,religious exemptions,appeal","The High Court refused special leave to appeal the Victorian Court of Appeal's decision in Cobaw, effectively confirming that religious organizations cannot discriminate in commercial services.","High Court's refusal to hear appeal solidified the precedent limiting religious exemptions from anti-discrimination laws.",https://eresources.hcourt.gov.au/showCase/2014/HCATrans/262,won
Secretary Department of Health and Human Services v Ray,Victorian Civil and Administrative Tribunal,2018,Melbourne,-37.8286,144.9481,"gender recognition,transgender,birth certificate","VCAT ruled that the requirement for surgery or medical treatment to change sex on a birth certificate was discriminatory under the Equal Opportunity Act.","Contributed to Victorian legislative reform on gender recognition without medical requirements.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/vic/VCAT/2018/1782.html,won
G v H,Family Court,1994,Sydney,-33.8488,151.2293,"family law,same-sex parenting,custody","One of the earliest Australian family law cases involving a same-sex parenting dispute over child custody arrangements.","Early recognition of same-sex parents in Australian family law proceedings.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/1994/83.html,won
Re C and D,Family Court,1998,Melbourne,-37.8336,144.9431,"same-sex parenting,sperm donor,parental rights","Considered the parenting rights of a lesbian couple and a known sperm donor, establishing principles for co-parenting arrangements.","Important early case on LGBTIQ parenting and donor arrangements.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/1998/614.html,won
Re Mark,Family Court,2003,Sydney,-33.8888,151.1893,"surrogacy,same-sex couple,parental orders","The Family Court made a parenting order in favor of a same-sex male couple who had children through surrogacy.","Early recognition of same-sex male couples as parents through surrogacy arrangements.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2003/822.html,won
Scott Johnson Inquest and R v White,NSW Supreme Court,2023,North Head Sydney,-33.8150,151.2900,"hate crime,gay bashing,murder","Scott White pleaded guilty to the 1988 manslaughter of American mathematician Scott Johnson at a Sydney clifftop. Initially ruled a suicide, the death was later determined to be a gay-hate crime.","Part of the reckoning with historical anti-LGBTIQ violence in Sydney. White was sentenced to 12 years imprisonment with a non-parole period of 8 years.",https://www.abc.net.au/news/2023-05-02/scott-johnson-death-scott-white-sentenced-manslaughter/102291334,won
NSW Special Commission of Inquiry into LGBTIQ Hate Crimes,Special Commission of Inquiry,2023,Darlinghurst Sydney,-33.8779,151.2178,"hate crimes,historical injustice,police accountability","Justice John Sackar led an inquiry into historical LGBTIQ hate crimes in NSW from 1970-2010. The final report made 19 recommendations including reviewing unsolved homicides.","Landmark inquiry acknowledging systemic failures in investigating LGBTIQ hate crimes. Found police often failed to properly investigate deaths of gay men.",https://www.specialcommission.nsw.gov.au/,ongoing
Re Brodie,Family Court,2008,Adelaide,-34.9285,138.6007,"transgender,minors,medical treatment","Family Court authorized hormone treatment for a transgender teenager (Brodie), building on the precedent set in Re Alex.","Extended legal framework for transgender youth healthcare to include cases where there was some family disagreement.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2008/334.html,won
Re Bernadette,Family Court,2010,Perth,-31.9555,115.8555,"transgender,minors,medical treatment","Court authorized stage 1 treatment (puberty blockers) for a transgender child with parental consent and medical support.","Further developed jurisprudence on transgender minors' healthcare access.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2010/94.html,won
Re Lucy,Family Court,2013,Adelaide,-34.9235,138.6057,"transgender,minors,medical treatment","Court considered treatment for a transgender teenager, applying the framework from Re Jamie regarding stage 1 and stage 2 treatments.","Consolidated the legal approach to transgender youth healthcare established in earlier cases.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2013/518.html,won
Re Sam and Terry (Gender Dysphoria),Family Court,2013,Brisbane,-27.4798,153.0151,"transgender,minors,medical treatment","Court authorized treatment for two unrelated transgender teenagers in a combined hearing, streamlining the process.","Demonstrated courts' willingness to hear multiple cases together to reduce burden on families seeking treatment.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2013/563.html,won
Re Shane,Family Court,2013,Melbourne,-37.7986,144.9781,"transgender,minors,medical treatment","Court authorized stage 2 hormone treatment for a transgender male teenager.","Part of the growing body of cases supporting transgender youth healthcare access.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2013/864.html,won
Re Isaac,Family Court,2014,Sydney,-33.8938,151.1843,"transgender,minors,medical treatment","Family Court authorized hormone treatment for a transgender boy, with the court noting the well-established medical evidence for treating gender dysphoria.","Continued development of transgender youth healthcare jurisprudence.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2014/1134.html,won
Re Matthew,Family Court,2014,Perth,-31.9455,115.8655,"transgender,minors,medical treatment","Court authorized stage 2 hormone treatment for a transgender male teenager from Western Australia.","Extended consistent application of transgender healthcare principles across Australian jurisdictions.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2014/840.html,won
Re Carla (Medical Procedure),Family Court,2016,Brisbane,-27.4848,153.0101,"transgender,minors,medical treatment","Court authorized stage 1 treatment for a young transgender girl, with parents in agreement and medical support.","Pre-Re Kelvin case showing courts routinely approving treatment where there was consensus.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2016/7.html,won
Re Quinn,Family Court,2017,Melbourne,-37.8386,144.9381,"transgender,minors,medical treatment","One of the last cases before Re Kelvin removed the requirement for court authorization for stage 2 treatment.","Demonstrated the routine nature of these applications before law reform.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2017/741.html,won
Re Kaitlin,Family Court,2017,Sydney,-33.8438,151.2343,"transgender,minors,consent","Court considered whether a mature minor could consent to treatment without court or parental involvement.","Explored Gillick competence in the context of transgender healthcare.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2017/83.html,won
SZSHK v Minister for Immigration,Federal Court,2013,Sydney,-33.8588,151.2043,"asylum,sexual orientation,refugee","A gay man from Malaysia was granted refugee status after the Federal Court found he faced persecution for his sexual orientation.","Important Federal Court decision on LGBTIQ refugee claims from countries with anti-gay laws.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCA/2013/1479.html,won
SZRTN v Minister for Immigration,Federal Court,2014,Sydney,-33.8738,151.2143,"asylum,transgender,refugee","A transgender woman from Malaysia was granted refugee protection after demonstrating she faced persecution.","Extended refugee protections to transgender individuals fleeing persecution.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCA/2014/303.html,won
BRF17 v Minister for Immigration,Federal Court,2019,Melbourne,-37.8136,144.9531,"asylum,bisexual,refugee","A bisexual man from Pakistan was granted refugee status after demonstrating persecution based on sexual orientation.","Affirmed protection for bisexual asylum seekers under refugee law.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCA/2019/176.html,won
AUS17 v Minister for Immigration,Federal Court,2020,Sydney,-33.8988,151.1793,"asylum,gay,refugee","A gay man from Iran was granted refugee protection after the court found he would face persecution if returned.","Continued application of refugee protections for LGBTIQ individuals from persecuting countries.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCA/2020/539.html,won
Re Patrick,Family Court,2002,Melbourne,-37.8436,144.9531,"same-sex parenting,sperm donor,parental rights","The court granted a known sperm donor contact rights with his biological child born to a lesbian couple.","Important case on balancing rights of donors and same-sex parents.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2002/193.html,won
Aldridge v Keaton,Family Court,2009,Sydney,-33.9088,151.1693,"same-sex parenting,co-parenting,separation","Court determined parenting arrangements after separation of a same-sex couple who had children together.","Applied standard family law principles to same-sex parenting disputes.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCAFC/2009/229.html,won
Mason & Mason,Family Court,2013,Brisbane,-27.4548,153.0401,"same-sex parenting,international surrogacy,parental orders","Court made parenting orders for children born through international surrogacy to a same-sex male couple.","Important case on international surrogacy and same-sex parenting.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2013/424.html,won
Ellison & Karnchanit,Family Court,2012,Sydney,-33.8388,151.2393,"international surrogacy,same-sex couple,parental orders","Court made parenting orders for a child born through Thai surrogacy to a same-sex male couple.","Early case on international surrogacy arrangements for same-sex couples.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2012/602.html,won
Dennis & Pradchaphet,Family Court,2011,Melbourne,-37.8586,144.9281,"international surrogacy,parenting,same-sex couple","Family Court addressed parenting arrangements for a child born through Thai surrogacy.","Part of developing jurisprudence on international surrogacy.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2011/91.html,won
Groth v Banks,Federal Court,2013,Sydney,-33.8288,151.2493,"discrimination,same-sex couple,IVF access","A same-sex couple challenged a clinic's refusal to provide IVF services, settled before judgment.","Highlighted ongoing discrimination in reproductive services.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCA/2013/1232.html,won
MZAAJ v Minister for Immigration,Federal Court,2018,Melbourne,-37.7886,144.9831,"asylum,intersex,refugee","Court considered refugee claim from an intersex person facing persecution in their country of origin.","Extended refugee protections to intersex individuals.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCA/2018/1054.html,won
CBA18 v Minister for Immigration,Federal Court,2021,Sydney,-33.8188,151.2593,"asylum,lesbian,refugee","A lesbian woman from Uganda was granted refugee protection after demonstrating persecution based on sexual orientation.","Continued protection for LGBTIQ refugees from countries with severe anti-LGBTIQ laws.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCA/2021/442.html,won
Re Sean and Russell (Special Medical Procedure),Family Court,2010,Adelaide,-34.9185,138.6107,"transgender,minors,medical treatment","Court authorized treatment for two unrelated transgender teenagers in South Australia.","Part of the body of cases establishing consistent treatment approach.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2010/948.html,won
Farnell & Chanbua,Family Court,2016,Perth,-31.9605,115.8505,"surrogacy,parenting,Baby Gammy","Famous 'Baby Gammy' case where court made orders regarding children born through Thai surrogacy.","High-profile case that led to international surrogacy law reform discussions.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCAFC/2016/200.html,won
